Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781379942

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    91 | steps   46,592 | sps   2449 | ep_rew  -101.33 | ep_len     92 | n_eps    6 | pol -0.0006 | val  0.0141 | ent -1.3555 | kl 0.000010 | ev  0.238 | lr 1.00e-04
iter    92 | steps   47,104 | sps   3651 | ep_rew  -138.30 | ep_len    102 | n_eps    5 | pol -0.0001 | val  0.0213 | ent -1.3684 | kl 0.000003 | ev -0.394 | lr 1.00e-04
iter    93 | steps   47,616 | sps   2351 | ep_rew  -125.32 | ep_len     88 | n_eps    5 | pol -0.0004 | val  0.0128 | ent -1.3632 | kl 0.000004 | ev  0.007 | lr 1.00e-04
iter    94 | steps   48,128 | sps   2209 | ep_rew   -98.98 | ep_len     93 | n_eps    6 | pol -0.0003 | val  0.0048 | ent -1.3744 | kl 0.000005 | ev  0.608 | lr 1.00e-04
iter    95 | steps   48,640 | sps   2359 | ep_rew  -167.48 | ep_len     99 | n_eps    6 | pol -0.0010 | val  0.0460 | ent -1.3528 | kl 0.000011 | ev  0.069 | lr 1.00e-04
iter    96 | steps   49,152 | sps   2387 | ep_rew  -140.37 | ep_len    114 | n_eps    4 | pol -0.0005 | val  0.0096 | ent -1.3701 | kl 0.000010 | ev  0.144 | lr 1.00e-04
iter    97 | steps   49,664 | sps   2430 | ep_rew  -124.01 | ep_len    102 | n_eps    4 | pol -0.0004 | val  0.0105 | ent -1.3648 | kl 0.000005 | ev  0.123 | lr 1.00e-04
iter    98 | steps   50,176 | sps   1124 | ep_rew  -182.05 | ep_len    107 | n_eps    6 | pol -0.0005 | val  0.0176 | ent -1.3461 | kl 0.000008 | ev  0.324 | lr 1.00e-04
iter    99 | steps   50,688 | sps   2380 | ep_rew  -155.76 | ep_len     91 | n_eps    5 | pol -0.0001 | val  0.0253 | ent -1.3458 | kl 0.000003 | ev  0.320 | lr 1.00e-04
iter   100 | steps   51,200 | sps   2288 | ep_rew   -86.81 | ep_len     99 | n_eps    4 | pol -0.0005 | val  0.0056 | ent -1.3646 | kl 0.000006 | ev  0.209 | lr 1.00e-04
  [ckpt] saved → models/lunar_ppo/lunar_checkpoint_51200.pt
iter   101 | steps   51,712 | sps   2228 | ep_rew  -117.44 | ep_len     97 | n_eps    7 | pol -0.0006 | val  0.0090 | ent -1.3622 | kl 0.000011 | ev  0.121 | lr 1.00e-04
iter   102 | steps   52,224 | sps   3672 | ep_rew  -148.60 | ep_len     89 | n_eps    5 | pol -0.0005 | val  0.0309 | ent -1.3671 | kl 0.000008 | ev -0.093 | lr 1.00e-04
iter   103 | steps   52,736 | sps   3822 | ep_rew   -83.62 | ep_len     96 | n_eps    5 | pol -0.0003 | val  0.0087 | ent -1.3556 | kl 0.000005 | ev  0.189 | lr 1.00e-04
iter   104 | steps   53,248 | sps   1025 | ep_rew  -137.64 | ep_len    102 | n_eps    4 | pol -0.0004 | val  0.0088 | ent -1.3570 | kl 0.000007 | ev -0.223 | lr 1.00e-04
iter   105 | steps   53,760 | sps   2384 | ep_rew  -110.33 | ep_len    116 | n_eps    6 | pol -0.0002 | val  0.0188 | ent -1.3660 | kl 0.000004 | ev -0.188 | lr 1.00e-04
iter   106 | steps   54,272 | sps   2411 | ep_rew  -128.10 | ep_len     97 | n_eps    5 | pol -0.0002 | val  0.0163 | ent -1.3610 | kl 0.000002 | ev -0.023 | lr 1.00e-04
iter   107 | steps   54,784 | sps   4119 | ep_rew   -90.60 | ep_len     83 | n_eps    4 | pol -0.0005 | val  0.0049 | ent -1.3676 | kl 0.000003 | ev  0.375 | lr 1.00e-04
iter   108 | steps   55,296 | sps   3988 | ep_rew  -112.59 | ep_len    106 | n_eps    5 | pol -0.0003 | val  0.0050 | ent -1.3702 | kl 0.000006 | ev  0.434 | lr 1.00e-04
iter   109 | steps   55,808 | sps   3523 | ep_rew  -111.10 | ep_len    101 | n_eps    7 | pol -0.0007 | val  0.0037 | ent -1.3530 | kl 0.000012 | ev  0.521 | lr 1.00e-04
iter   110 | steps   56,320 | sps   2251 | ep_rew  -112.58 | ep_len    103 | n_eps    5 | pol -0.0005 | val  0.0070 | ent -1.3597 | kl 0.000005 | ev  0.075 | lr 1.00e-04
iter   111 | steps   56,832 | sps   3797 | ep_rew  -117.19 | ep_len     88 | n_eps    5 | pol -0.0001 | val  0.0075 | ent -1.3614 | kl 0.000005 | ev  0.366 | lr 1.00e-04
iter   112 | steps   57,344 | sps   3802 | ep_rew  -117.09 | ep_len     95 | n_eps    7 | pol -0.0008 | val  0.0214 | ent -1.3596 | kl 0.000006 | ev -0.136 | lr 1.00e-04
iter   113 | steps   57,856 | sps   2317 | ep_rew  -107.36 | ep_len    101 | n_eps    4 | pol -0.0003 | val  0.0049 | ent -1.3628 | kl 0.000004 | ev  0.451 | lr 1.00e-04
iter   114 | steps   58,368 | sps   2305 | ep_rew   -89.98 | ep_len     85 | n_eps    7 | pol -0.0003 | val  0.0072 | ent -1.3547 | kl 0.000005 | ev  0.408 | lr 1.00e-04
iter   115 | steps   58,880 | sps   2248 | ep_rew  -131.84 | ep_len    100 | n_eps    4 | pol -0.0003 | val  0.0096 | ent -1.3635 | kl 0.000004 | ev  0.230 | lr 1.00e-04
iter   116 | steps   59,392 | sps   2305 | ep_rew   -49.53 | ep_len    107 | n_eps    5 | pol -0.0002 | val  0.0351 | ent -1.3557 | kl 0.000004 | ev -0.192 | lr 1.00e-04
  [best] new best -49.53 → models/lunar_ppo/lunar_checkpoint_best.pt
iter   117 | steps   59,904 | sps   2187 | ep_rew  -111.08 | ep_len    117 | n_eps    4 | pol -0.0001 | val  0.0164 | ent -1.3578 | kl 0.000001 | ev  0.144 | lr 1.00e-04
iter   118 | steps   60,416 | sps   2297 | ep_rew  -117.86 | ep_len     93 | n_eps    5 | pol -0.0003 | val  0.0078 | ent -1.3562 | kl 0.000003 | ev  0.482 | lr 1.00e-04
iter   119 | steps   60,928 | sps   2319 | ep_rew  -107.09 | ep_len    108 | n_eps    4 | pol -0.0002 | val  0.0069 | ent -1.3593 | kl 0.000003 | ev -0.202 | lr 1.00e-04
iter   120 | steps   61,440 | sps   1998 | ep_rew  -110.03 | ep_len    107 | n_eps    6 | pol -0.0003 | val  0.0097 | ent -1.3551 | kl 0.000006 | ev  0.267 | lr 1.00e-04
iter   121 | steps   61,952 | sps   2317 | ep_rew   -85.80 | ep_len     88 | n_eps    5 | pol -0.0005 | val  0.0090 | ent -1.3616 | kl 0.000007 | ev  0.319 | lr 1.00e-04
iter   122 | steps   62,464 | sps   2218 | ep_rew   -78.43 | ep_len     91 | n_eps    7 | pol -0.0002 | val  0.0045 | ent -1.3548 | kl 0.000006 | ev  0.489 | lr 1.00e-04
iter   123 | steps   62,976 | sps   1911 | ep_rew  -113.79 | ep_len     93 | n_eps    6 | pol -0.0005 | val  0.0168 | ent -1.3513 | kl 0.000005 | ev  0.304 | lr 1.00e-04
